ETF_Id,Ticker_Symbol,Weight
0053,3515,0.06
0053,6414,0.06
0053,2455,0.06
0053,2428,0.06
0053,3015,0.06
0053,2481,0.05
0053,8016,0.05
0053,6230,0.05
0053,8114,0.05
0053,8210,0.05
0053,4942,0.05
0053,2498,0.05
0053,2355,0.05
0053,2472,0.05
0053,3026,0.05
0053,6213,0.05
0053,6269,0.05
0053,6139,0.05
0053,2401,0.04
0053,3006,0.04
0053,4968,0.04
0053,6719,0.04
0053,8110,0.04
0053,8150,0.04
0053,2387,0.04
0053,2405,0.04
0053,2489,0.04
0053,3714,0.04
0053,6456,0.04
0053,4906,0.04
0053,6416,0.04
0053,3003,0.04
0053,4994,0.04
0053,2459,0.04
0053,2340,0.03
0053,2351,0.03
0053,2369,0.03
0053,2436,0.03
0053,3016,0.03
0053,3545,0.03
0053,6202,0.03
0053,8028,0.03
0053,2467,0.03
0053,2478,0.03
0053,6153,0.03
0053,6715,0.03
0053,8213,0.03
0053,2480,0.03
0053,2373,0.03
0053,6196,0.03
0053,8021,0.03
0053,5471,0.02
0053,6756,0.02
0053,2426,0.02
0053,3049,0.02
0053,3576,0.02
0053,6168,0.02
0053,6706,0.02
0053,2439,0.02
0053,5388,0.02
0053,2375,0.02
0053,2476,0.02
0053,4915,0.02
0053,3010,0.02
0053,6281,0.02
0053,6183,0.02
0053,3030,0.02
0053,2338,0.01
0053,2363,0.01
0053,5285,0.01
0053,8131,0.01
0053,2362,0.01
0053,6277,0.01
0053,8163,0.01
0053,3059,0.01
0053,3504,0.01
0053,3380,0.01
0053,3704,0.01
0053,2367,0.01
0053,2392,0.01
0053,2457,0.01
0053,6115,0.01
0053,8039,0.01
0053,3048,0.01
0053,6189,0.01
0053,8112,0.01
0055,2881,12.83
0055,2891,12.02
0055,2882,10.66
0055,2886,8.65
0055,2884,7.56
0055,2885,6.33
0055,2892,5.55
0055,2883,5.0
0055,5880,4.68
0055,2880,4.5
0055,2890,4.38
0055,2887,3.67
0055,2888,3.25
0055,5876,3.2
0055,5871,2.34
0055,2801,2.0
0055,2834,1.83
0056,2603,4.37
0056,3034,4.08
0056,2303,3.73
0056,2379,3.49
0056,2357,3.45
0056,2891,3.37
0056,2454,3.13
0056,2880,3.09
0056,2618,2.83
0056,2609,2.71
0056,2886,2.66
0056,5876,2.61
0056,2885,2.59
0056,4938,2.49
0056,2383,2.46
0056,3711,2.35
0056,2105,2.3
0056,2301,2.28
0056,1102,2.26
0056,2382,2.12
0056,2890,2.05
0056,2376,2.04
0056,2356,1.95
0056,2474,1.9
0056,2324,1.85
0056,2377,1.83
0056,3231,1.82
0056,2385,1.6
0056,2347,1.53
0056,2317,1.45
0056,2449,1.43
0056,2353,1.42
0056,1504,1.41
0056,2027,1.41
0056,3036,1.41
0056,3702,1.36
0056,1303,1.35
0056,3044,1.29
0056,4958,1.29
0056,6239,1.12
0056,1477,1.01
0056,6176,0.99
0056,1319,0.98
0056,4763,0.93
0056,3005,0.93
0056,6285,0.87
0056,2006,0.68
0056,5871,0.58
0056,9941,0.4
0056,2542,0.07
0057,2330,50.78
0057,2454,4.71
0057,2317,4.06
0057,2881,1.56
0057,2308,1.56
0057,2891,1.46
0057,2382,1.35
0057,2882,1.3
0057,2303,1.12
0057,2412,1.09
0057,2886,1.05
0057,3711,1.05
0057,2357,0.96
0057,2884,0.92
0057,1216,0.87
0057,2885,0.77
0057,3034,0.7
0057,2892,0.68
0057,2345,0.65
0057,2883,0.61
0057,2002,0.59
0057,3231,0.58
0057,5880,0.57
0057,2379,0.57
0057,2880,0.55
0057,2603,0.53
0057,2890,0.53
0057,3008,0.53
0057,8069,0.51
0057,1101,0.48
0057,3661,0.47
0057,3045,0.47
0057,2887,0.45
0057,2327,0.44
0057,3293,0.44
0057,2301,0.43
0057,2207,0.41
0057,6669,0.41
0057,2888,0.4
0057,2395,0.4
0057,5876,0.39
0057,5871,0.39
0057,4938,0.37
0057,4904,0.36
